Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , United States ,2001,2,268.722, United States 20012
Total consumption , petroleum coke , United States ,2001,1,296.435, United States 20011
Total consumption , petroleum coke , West North Central (total) ,2017,6,0, West North Central (total) 20176
Total consumption , petroleum coke , West North Central (total) ,2017,5,0, West North Central (total) 20175
Total consumption , petroleum coke , West North Central (total) ,2017,4,0, West North Central (total) 20174
Total consumption , petroleum coke , West North Central (total) ,2017,3,0, West North Central (total) 20173
Total consumption , petroleum coke , West North Central (total) ,2017,2,0, West North Central (total) 20172
Total consumption , petroleum coke , West North Central (total) ,2017,1,0, West North Central (total) 20171
Total consumption , petroleum coke , West North Central (total) ,2016,12,0, West North Central (total) 201612
Total consumption , petroleum coke , West North Central (total) ,2016,6,0, West North Central (total) 20166
Total consumption , petroleum coke , West North Central (total) ,2016,5,0, West North Central (total) 20165
Total consumption , petroleum coke , West North Central (total) ,2016,4,0, West North Central (total) 20164
Total consumption , petroleum coke , West North Central (total) ,2016,3,0, West North Central (total) 20163
Total consumption , petroleum coke , West North Central (total) ,2015,12,0, West North Central (total) 201512
Total consumption , petroleum coke , West North Central (total) ,2015,11,0, West North Central (total) 201511
Total consumption , petroleum coke , West North Central (total) ,2015,10,0, West North Central (total) 201510
Total consumption , petroleum coke , West North Central (total) ,2015,9,0, West North Central (total) 20159
Total consumption , petroleum coke , West North Central (total) ,2015,8,0, West North Central (total) 20158
Total consumption , petroleum coke , West North Central (total) ,2015,7,0, West North Central (total) 20157
Total consumption , petroleum coke , West North Central (total) ,2015,6,0, West North Central (total) 20156
Total consumption , petroleum coke , West North Central (total) ,2015,5,0, West North Central (total) 20155
Total consumption , petroleum coke , West North Central (total) ,2015,4,0, West North Central (total) 20154
Total consumption , petroleum coke , West North Central (total) ,2015,3,0, West North Central (total) 20153
Total consumption , petroleum coke , West North Central (total) ,2015,2,0, West North Central (total) 20152
Total consumption , petroleum coke , West North Central (total) ,2015,1,0, West North Central (total) 20151
Total consumption , petroleum coke , West North Central (total) ,2014,12,0, West North Central (total) 201412
Total consumption , petroleum coke , West North Central (total) ,2014,11,0, West North Central (total) 201411
Total consumption , petroleum coke , West North Central (total) ,2014,10,0, West North Central (total) 201410
Total consumption , petroleum coke , West North Central (total) ,2014,9,0, West North Central (total) 20149
Total consumption , petroleum coke , West North Central (total) ,2014,8,0, West North Central (total) 20148
Total consumption , petroleum coke , West North Central (total) ,2014,7,0, West North Central (total) 20147
Total consumption , petroleum coke , West North Central (total) ,2014,6,0, West North Central (total) 20146
Total consumption , petroleum coke , West North Central (total) ,2014,5,0, West North Central (total) 20145
Total consumption , petroleum coke , West North Central (total) ,2014,4,0, West North Central (total) 20144
Total consumption , petroleum coke , West North Central (total) ,2014,3,0, West North Central (total) 20143
Total consumption , petroleum coke , West North Central (total) ,2014,2,0, West North Central (total) 20142
Total consumption , petroleum coke , West North Central (total) ,2014,1,0, West North Central (total) 20141
Total consumption , petroleum coke , West North Central (total) ,2013,12,0, West North Central (total) 201312
Total consumption , petroleum coke , West North Central (total) ,2013,11,0, West North Central (total) 201311
Total consumption , petroleum coke , West North Central (total) ,2013,10,0, West North Central (total) 201310
Total consumption , petroleum coke , West North Central (total) ,2013,9,0, West North Central (total) 20139
Total consumption , petroleum coke , West North Central (total) ,2013,8,0, West North Central (total) 20138
Total consumption , petroleum coke , West North Central (total) ,2013,7,0, West North Central (total) 20137
Total consumption , petroleum coke , West North Central (total) ,2013,6,0, West North Central (total) 20136
Total consumption , petroleum coke , West North Central (total) ,2013,5,0, West North Central (total) 20135
Total consumption , petroleum coke , West North Central (total) ,2013,4,0, West North Central (total) 20134
Total consumption , petroleum coke , West North Central (total) ,2013,3,0, West North Central (total) 20133
Total consumption , petroleum coke , West North Central (total) ,2013,2,0, West North Central (total) 20132
Total consumption , petroleum coke , West North Central (total) ,2013,1,0, West North Central (total) 20131
Total consumption , petroleum coke , West North Central (total) ,2012,12,0, West North Central (total) 201212
Total consumption , petroleum coke , West North Central (total) ,2012,11,0, West North Central (total) 201211
Total consumption , petroleum coke , West North Central (total) ,2012,10,0, West North Central (total) 201210
Total consumption , petroleum coke , West North Central (total) ,2012,9,0, West North Central (total) 20129
Total consumption , petroleum coke , West North Central (total) ,2012,8,0, West North Central (total) 20128
Total consumption , petroleum coke , West North Central (total) ,2012,7,0, West North Central (total) 20127
Total consumption , petroleum coke , West North Central (total) ,2012,6,0, West North Central (total) 20126
Total consumption , petroleum coke , West North Central (total) ,2012,5,0, West North Central (total) 20125
Total consumption , petroleum coke , West North Central (total) ,2012,4,0, West North Central (total) 20124
Total consumption , petroleum coke , West North Central (total) ,2012,3,0.24, West North Central (total) 20123
Total consumption , petroleum coke , West North Central (total) ,2012,2,3.655, West North Central (total) 20122
Total consumption , petroleum coke , West North Central (total) ,2012,1,0.829, West North Central (total) 20121
Total consumption , petroleum coke , West North Central (total) ,2011,12,0.239, West North Central (total) 201112
Total consumption , petroleum coke , West North Central (total) ,2011,11,0, West North Central (total) 201111
Total consumption , petroleum coke , West North Central (total) ,2011,10,0.163, West North Central (total) 201110
Total consumption , petroleum coke , West North Central (total) ,2011,9,2.827, West North Central (total) 20119
Total consumption , petroleum coke , West North Central (total) ,2011,8,7.461, West North Central (total) 20118
Total consumption , petroleum coke , West North Central (total) ,2011,7,5.78, West North Central (total) 20117
Total consumption , petroleum coke , West North Central (total) ,2011,6,3.518, West North Central (total) 20116
Total consumption , petroleum coke , West North Central (total) ,2011,5,2.917, West North Central (total) 20115
Total consumption , petroleum coke , West North Central (total) ,2011,4,1.076, West North Central (total) 20114
Total consumption , petroleum coke , West North Central (total) ,2011,3,6.036, West North Central (total) 20113
Total consumption , petroleum coke , West North Central (total) ,2011,2,5.49, West North Central (total) 20112
Total consumption , petroleum coke , West North Central (total) ,2011,1,5.389, West North Central (total) 20111
Total consumption , petroleum coke , West North Central (total) ,2010,12,3.996, West North Central (total) 201012
Total consumption , petroleum coke , West North Central (total) ,2010,11,1.518, West North Central (total) 201011
Total consumption , petroleum coke , West North Central (total) ,2010,10,2.432, West North Central (total) 201010
Total consumption , petroleum coke , West North Central (total) ,2010,9,3.322, West North Central (total) 20109
Total consumption , petroleum coke , West North Central (total) ,2010,8,6.562, West North Central (total) 20108
Total consumption , petroleum coke , West North Central (total) ,2010,7,7.411, West North Central (total) 20107
Total consumption , petroleum coke , West North Central (total) ,2010,6,6.763, West North Central (total) 20106
Total consumption , petroleum coke , West North Central (total) ,2010,5,5.73, West North Central (total) 20105
Total consumption , petroleum coke , West North Central (total) ,2010,4,6.431, West North Central (total) 20104
Total consumption , petroleum coke , West North Central (total) ,2010,3,6.865, West North Central (total) 20103
Total consumption , petroleum coke , West North Central (total) ,2010,2,8.709, West North Central (total) 20102
Total consumption , petroleum coke , West North Central (total) ,2010,1,10.579, West North Central (total) 20101
Total consumption , petroleum coke , West North Central (total) ,2009,12,10.33, West North Central (total) 200912
Total consumption , petroleum coke , West North Central (total) ,2009,11,4.684, West North Central (total) 200911
Total consumption , petroleum coke , West North Central (total) ,2009,10,6.471, West North Central (total) 200910
Total consumption , petroleum coke , West North Central (total) ,2009,9,3.819, West North Central (total) 20099
Total consumption , petroleum coke , West North Central (total) ,2009,8,6.218, West North Central (total) 20098
Total consumption , petroleum coke , West North Central (total) ,2009,7,9.058, West North Central (total) 20097
Total consumption , petroleum coke , West North Central (total) ,2009,6,6.83, West North Central (total) 20096
Total consumption , petroleum coke , West North Central (total) ,2009,5,5.262, West North Central (total) 20095
Total consumption , petroleum coke , West North Central (total) ,2009,4,4.196, West North Central (total) 20094
Total consumption , petroleum coke , West North Central (total) ,2009,3,6.93, West North Central (total) 20093
Total consumption , petroleum coke , West North Central (total) ,2009,2,7.36, West North Central (total) 20092
Total consumption , petroleum coke , West North Central (total) ,2009,1,6.993, West North Central (total) 20091
Total consumption , petroleum coke , West North Central (total) ,2008,12,4.845, West North Central (total) 200812
Total consumption , petroleum coke , West North Central (total) ,2008,11,9.14, West North Central (total) 200811
Total consumption , petroleum coke , West North Central (total) ,2008,10,9.883, West North Central (total) 200810
Total consumption , petroleum coke , West North Central (total) ,2008,9,11.296, West North Central (total) 20089
Total consumption , petroleum coke , West North Central (total) ,2008,8,19.363, West North Central (total) 20088
Total consumption , petroleum coke , West North Central (total) ,2008,7,13.3, West North Central (total) 20087
Total consumption , petroleum coke , West North Central (total) ,2008,6,7.336, West North Central (total) 20086
